,Date,Battery Voltage AVG,Temperature AVG,Relative Humidity AVG,Wind Speed Daily AVG,Wind Direction AVG,Solare Radiation AVG
220,5/24/2015,13.56833333,35.50541667,55.14625,4.602791667,163.7657083,40.73991667
219,5/25/2015,13.53708333,32.7775,49.44625,2.176375,217.676125,30.99041667
215,5/29/2015,13.59458333,36.655,71.65125,24.68633333,274.7666667,245.2959167
214,5/30/2015,13.5775,40.17125,36.86833333,9.813375,247.1904167,352.442875
200,6/13/2015,13.54208333,31.21583333,45.76625,1.7863333330000002,29.30041667,364.5174167
199,6/14/2015,13.5325,32.69458333,70.2725,2.7260000000000004,30.691,362.93758330000003
197,6/16/2015,13.56625,38.61666667,33.18291667,9.260916667,28.18208333,352.22116669999997
211,6/2/2015,13.59708333,25.92333333,96.78333333,8.679666667000001,263.1208333,272.3627917
193,6/20/2015,13.54625,35.0875,40.37208333,2.47725,149.27625,358.7460833
192,6/21/2015,13.4925,33.59208333,49.67583333,19.79295833,273.6166667,297.3104583
191,6/22/2015,13.55458333,31.41125,80.40458333,13.34379167,242.9666667,240.7595833
190,6/23/2015,13.5425,38.03375,43.06458333,5.631583332999999,148.7572917,351.3125
188,6/25/2015,13.46291667,49.23875,37.54708333,5.079166667,143.1625,353.6944583
187,6/26/2015,13.43375,53.75416667,35.88125,13.615125,276.0791667,353.99733330000004
186,6/27/2015,13.44375,54.57583333,40.18583333,18.14608333,278.59166669999996,245.01154169999998
185,6/28/2015,13.62,55.05083333,49.77,8.242,243.3878333,184.279375
184,6/29/2015,13.4475,48.94125,56.53375,11.08508333,229.85291669999998,354.126125
183,6/30/2015,13.4275,48.49208333,50.48333333,2.755416667,183.66875,328.7606667
208,6/5/2015,13.53208333,38.94666667,50.58708333,5.9370833329999995,153.6,359.3387917
206,6/7/2015,13.45166667,53.21166667,30.91625,3.1011666669999998,217.22883330000002,355.6503333
173,7/10/2015,13.47083333,47.20208333,55.71291667,4.892166667,135.0912083,252.26125
171,7/12/2015,13.57958333,33.37666667,90.77416667,24.12541667,268.4125,220.184875
170,7/13/2015,13.61708333,32.21958333,92.41416667,11.55325,226.942625,252.476625
169,7/14/2015,13.51375,37.98625,47.64541667,2.382125,207.16666669999998,345.6050417
164,7/19/2015,13.425,49.7325,49.06958333,3.9822916669999997,226.1925,328.9838333
162,7/21/2015,13.49333333,41.5075,23.71291667,23.71208333,163.2116667,318.05425
161,7/22/2015,13.4775,38.8725,37.42833333,4.6595833330000005,19.09375,333.48675
157,7/26/2015,13.54541667,27.265,80.21208333,5.009375,198.077125,205.9569583
152,7/31/2015,13.44208333,52.78625,19.12333333,14.71504167,243.7625,327.84616669999997
179,7/4/2015,13.39666667,54.94875,28.75125,1.358333333,28.05416667,351.9732917
178,7/5/2015,13.43291667,47.63541667,46.01083333,2.864833333,30.16916667,333.7253333
176,7/7/2015,13.425,48.91333333,47.2225,3.00025,33.93708333,344.3869583
135,8/17/2015,13.45333333,46.55333333,30.25375,6.036208332999999,252.915,295.18425
131,8/21/2015,13.4875,43.20875,14.29633333,19.14175,19.62958333,293.7495
148,8/4/2015,13.46833333,41.29625,39.34041667,9.768666667,26.96041667,321.4156667
146,8/6/2015,13.47166667,40.76375,30.05708333,4.1517916669999995,30.62458333,315.5002917
